"gene","baseMean","log2FoldChange","padj","min_count"
"AT5G16360",127.45151602618,0.197518972485898,0.781450368369934,42
"AT5G20280",542.764350478975,0.155631916297888,0.803982120056347,233
"AT1G34030",311.463291561413,-0.146315692284164,0.818817087550512,91
"AT1G73680",148.150967438387,0.198234704515903,0.829062774527017,64
"AT5G57610",177.787324634655,0.130689189077418,0.842249566303062,65
"AT1G24300",232.081422816352,0.20376989970416,0.843072490564933,103
"AT3G11410",190.76375291804,0.158172275246692,0.844279033809769,58
"AT4G25500",341.68772295149,0.173170329943049,0.851498936773532,155
"AT3G59980",74.2592587039942,0.196880147757897,0.851516028094454,25
"AT3G45090",73.2365777944525,0.153267529407232,0.862679869095458,27
"AT1G51720",131.457418345414,-0.143706153220919,0.865798353299967,51
"AT3G16850",536.268115857438,0.10198750800429,0.866435789924832,175
"AT5G41800",60.7637115646809,0.198294921570849,0.884237965874167,13
"AT1G80240",94.7897765016695,0.12188708346176,0.899579854490516,30
"AT3G55420",60.0937101413571,0.114464419401733,0.907821790369526,20
"AT1G73930",94.672266714937,0.108126856349892,0.929005228918779,32
"AT5G02860",78.6413958071816,-0.0428345619353814,0.963906531235723,27
"AT2G27030",229.553793789297,0.0351431188030085,0.968516569915838,62
"AT3G26420",119.547889055777,-0.0452309309923386,0.973062402946655,32
"AT4G31850",134.512811379784,-0.0303889363831151,0.974107229857059,47
