"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","planted_log2FC","fold_multiplier","baseline_log2FC","added_log2FC","FDR_detected","pipeline_detected"
80.4490639986662,0.397688235150149,0.327474592088117,1.21440943742939,0.224591413377202,0.567069674647961,"AT3G45090",0.25,1.18920711500272,0.153267529407232,0.244420705742917,FALSE,FALSE
103.972080555513,0.354381109982099,0.409097400569347,0.866251189787327,0.386352426911979,0.700754674224393,"AT1G73930",0.25,1.18920711500272,0.108126856349892,0.246254253632207,FALSE,FALSE
130.453964251235,0.201829317127979,0.448196327015097,0.45031452727898,0.652483665499517,0.857388939336932,"AT3G26420",0.25,1.18920711500272,-0.0452309309923386,0.247060248120317,FALSE,FALSE
251.643502697442,0.283860702776267,0.286156952501494,0.99197555849979,0.321209448439728,0.655047773330182,"AT2G27030",0.25,1.18920711500272,0.0351431188030085,0.248717583973258,FALSE,FALSE
375.745160852843,0.422973267822395,0.354176373096244,1.1942447321506,0.23238224981234,0.576128493389396,"AT4G25500",0.25,1.18920711500272,0.173170329943049,0.249802937879346,FALSE,FALSE
596.887249468246,0.406231216962016,0.247791622144451,1.6394065846391,0.101128611221087,0.404236836931976,"AT5G20280",0.25,1.18920711500272,0.155631916297888,0.250599300664128,FALSE,FALSE
104.49441315584,0.376977351693466,0.335131059222381,1.1248654558255,0.260646052125314,0.601252149540234,"AT1G80240",0.25,1.18920711500272,0.12188708346176,0.255090268231706,FALSE,FALSE
143.65524328469,0.115477244422398,0.318984572532556,0.362015139182357,0.717340717241576,0.891689503761388,"AT1G51720",0.25,1.18920711500272,-0.143706153220919,0.259183397643317,FALSE,FALSE
147.123954507878,0.22006100133824,0.308230141414935,0.713950298072884,0.475257913533419,0.762402252541099,"AT4G31850",0.25,1.18920711500272,-0.0303889363831151,0.250449937721355,FALSE,FALSE
140.421468541963,0.445953965724169,0.276970061574498,1.6101161374231,0.10737250476004,0.415507950273004,"AT5G16360",0.25,1.18920711500272,0.197518972485898,0.248434993238271,FALSE,FALSE
