"edgeR_log2FC","logCPM","F","edgeR_PValue","edgeR_FDR","gene","edgeR_group"
0.0995182389210884,4.21156486268887,0.10239194151196,0.756524936110145,0.893348205830367,"AT1G01010","ns"
-0.17488481910539,3.7058529744272,0.249946306743205,0.629515773380878,0.825707458208083,"AT1G01020","ns"
0.682382230654844,6.29301383778204,2.69921700224633,0.135941414271403,0.463855339330906,"AT1G01040","ns"
-0.0575280536925354,5.94153918028796,0.0498219736033079,0.828520920621509,0.927786954679564,"AT1G01050","ns"
1.89579197728059,5.78213907379431,11.4031371764385,0.00856368831448246,0.242831052107946,"AT1G01060","ns"
1.03952530006103,2.65733448765956,1.41462587870357,0.265882356889544,0.590219265356939,"AT1G01070","ns"
0.249137090911912,5.41606671410907,0.730809277202063,0.415520646520723,0.702138285967655,"AT1G01080","ns"
0.0707751602017515,7.78052447261313,0.0939275321941822,0.766442538972657,0.898533414911561,"AT1G01090","ns"
-0.0108711622752016,7.28050560350816,0.00256967119513911,0.960714579386555,0.982104800893781,"AT1G01100","ns"
0.140692244509713,3.04558829231705,0.140350571357586,0.716921562427991,0.872925004145363,"AT1G01110","ns"
-0.379561979458794,8.92270455127247,3.45653889285752,0.0970409175975403,0.412365221459905,"AT1G01120","ns"
0.311218307892376,5.93095778653201,2.75973847689737,0.132161388529515,0.459585633478928,"AT1G01140","ns"
-0.479145149490794,4.64110510302052,2.10714594965773,0.181676685533193,0.508934531550545,"AT1G01160","ns"
0.33532262943343,5.15952982169518,1.61535247642266,0.236642218953905,0.561813159330427,"AT1G01170","ns"
0.347003549497609,4.71587954558764,1.96610912803791,0.19549337122175,0.522947248478822,"AT1G01180","ns"
-0.0238106700879251,2.5478240090517,0.000726792203010575,0.979103981119341,0.990631696279692,"AT1G01200","ns"
-0.141688596905413,3.06065059616212,0.132197389045218,0.724864582250351,0.877406321254119,"AT1G01210","ns"
0.223677585661587,4.8199712889364,1.09550852888648,0.323438753663823,0.631763014550273,"AT1G01220","ns"
