"","logFC","logCPM","F","PValue","FDR"
"AT5G19890",-5.354541166538,5.89117574859826,109.533170119762,3.12100777997058e-06,0.0493493750168949
"AT1G19900",-4.51534827310763,5.13147048626278,60.6354206212812,3.29419302631027e-05,0.18362283729901
"AT4G12480",-3.37042131695342,4.332171070163,55.2188229770488,4.81537479525077e-05,0.18362283729901
"AT5G02020",1.68651619820226,7.31511479524334,52.7497310933888,5.63614158178625e-05,0.18362283729901
"AT5G40590",-3.57507423433576,3.45611619401041,44.2105064769526,8.85874570049344e-05,0.18362283729901
"AT1G77330",-1.81227567098767,7.6758202782541,46.3501169318511,9.16758696948919e-05,0.18362283729901
"AT5G03545",-1.81717358697138,7.45198391414598,44.282638296813,0.000108622083109974,0.18362283729901
"AT2G38230",1.60720898532846,6.00943953073239,44.0792710842569,0.000110512716813501,0.18362283729901
"AT3G49970",-2.54082191369137,3.96262741545199,44.3335617210893,0.000110786492608985,0.18362283729901
"AT4G35160",-3.08726391924307,7.14888291766975,43.4960074168965,0.00011612878655389,0.18362283729901
"AT3G53200",-2.41481831979429,5.29332305269107,40.4914953790067,0.000151604500967147,0.202172670263146
"AT3G02620",-1.92999200888758,3.97507796032681,39.0028000407126,0.00017598282244131,0.202172670263146
"AT4G28080",1.22690309867633,8.45493684396993,38.120075383599,0.000187999700785033,0.202172670263146
"AT4G34138",1.27176809048171,6.71271438158048,36.7740578452926,0.000214055210677694,0.202172670263146
"AT1G13430",-2.2734733419138,5.84603674575075,36.6574047303162,0.000216792220898049,0.202172670263146
"AT4G30280",-1.2539688691485,7.08412221265474,36.3082470128302,0.000224076313608077,0.202172670263146
"AT1G06080",-1.51932326684399,7.45802121603862,35.9282738226576,0.000232686824865903,0.202172670263146
"AT5G53980",-1.57749189747861,6.79858543418296,35.5053983889474,0.000242784260870393,0.202172670263146
"AT4G16260",-1.67298631682169,7.18992841881084,34.4244958816654,0.000271053356935328,0.202172670263146
"AT3G25190",2.31957011795714,3.1181003266297,34.2801994638328,0.000281084081113695,0.202172670263146
